คุณภาพอากาศของกรุงเทพมหานคร บริเวณสถานีตรวจวัดคุณภาพอากาศแขวงช่องนนทรี เขตยานนาวา พ.ศ. 2563,,,,,,,,,
,,,,,,,,,
เดือน,,ฝุ่นขนาดเล็กกว่า 10 ไมครอน (PM10),,ฝุ่นขนาดเล็กกว่า 2.5 ไมครอน (PM2.5),,ก๊าซไนโตรเจนไดออกไซด์ (NO2),,ก๊าซโอโซน (O3),
,,ค่าเฉลี่ย 24 ชั่วโมง (?g/m3),,ค่าเฉลี่ย 24 ชั่วโมง (?g/m3),,ค่าเฉลี่ย 1 ชั่วโมง (ppb),,ค่าเฉลี่ย 1 ชั่วโมง (ppb),
,,(ไมโครกรัม/ลูกบาศก์เมตร),,(ไมโครกรัม/ลูกบาศก์เมตร),,(ส่วนในพันล้านส่วน),,(ส่วนในพันล้านส่วน),
,,ค่าต่ำสุด,ค่าสูงสุด,ค่าต่ำสุด,ค่าสูงสุด,ค่าต่ำสุด,ค่าสูงสุด,ค่าต่ำสุด,ค่าสูงสุด
,มกราคม,31.00,124.00,13.00,78.00,7.00,84.00,0.00,90.00
,กุมภาพันธ์,32.00,113.00,12.00,67.00,9.00,86.00,1.00,97.00
,มีนาคม,29.00,80.00,10.00,37.00,5.00,93.00,1.00,103.00
,เมษายน,20.00,60.00,10.00,31.00,1.00,12.00,-,-
,พฤษภาคม,18.00,53.00,8.00,26.00,-,-,-,-
,มิถุนายน,16.00,34.00,9.00,17.00,-,-,-,-
,กรกฎาคม,20.00,40.00,9.00,18.00,-,-,-,-
,สิงหาคม,16.00,46.00,7.00,23.00,-,-,-,-
,กันยายน,20.00,46.00,9.00,24.00,-,-,-,-
,ตุลาคม,26.00,69.00,9.00,45.00,-,-,-,-
,พฤศจิกายน,36.00,71.00,16.00,49.00,-,-,-,-
,ธันวาคม,33.00,105.00,18.00,55.00,-,-,0.00,92.00
,,,,,,,,,
ค่ามาตรฐาน (std.),,120,,50,,170,,100,
,,,,,,,,,
แหล่งข้อมูล :  กองจัดการคุณภาพอากาศและเสียง กรมควบคุมมลพิษ,,,,,,,,,
